SKU,Model,Storage,Condition,CashPrice,CurrentStock,REAL_QTY
IP11-128-PRE,iPhone 11,128GB,Pre-owned,13990,1,
IP11P-256-PRE,iPhone 11 Pro,256GB,Pre-owned,,0,
IP11PM-256-PRE,iPhone 11 Pro Max,256GB,Pre-owned,19990,1,
IP12-128-PRE,iPhone 12,128GB,Pre-owned,17990,1,
IP12-256-PRE,iPhone 12,256GB,Pre-owned,18990,1,
IP12P-128-PRE,iPhone 12 Pro,128GB,Pre-owned,19990,1,
IP12P-256-PRE,iPhone 12 Pro,256GB,Pre-owned,20990,1,
IP12PM-128-PRE,iPhone 12 Pro Max,128GB,Pre-owned,22990,1,
IP12PM-256-PRE,iPhone 12 Pro Max,256GB,Pre-owned,24990,1,
IP13-128-PRE,iPhone 13,128GB,Pre-owned,19990,1,
IP13-256-PRE,iPhone 13,256GB,Pre-owned,21990,1,
IP13P-128-PRE,iPhone 13 Pro,128GB,Pre-owned,26990,1,
IP13P-256-PRE,iPhone 13 Pro,256GB,Pre-owned,29990,1,
IP13PM-128-STD,iPhone 13 Pro Max,128GB,Standard,31990,3,
IP13PM-256-STD,iPhone 13 Pro Max,256GB,Standard,34990,3,
IP14-128-STD,iPhone 14,128GB,Standard,24990,3,
IP14-256-STD,iPhone 14,256GB,Standard,27990,3,
IP14-128-NEW,iPhone 14,128GB,Brand new,33990,3,
IP14PL-128-STD,iPhone 14 Plus,128GB,Standard,29990,3,
IP14P-128-STD,iPhone 14 Pro,128GB,Standard,31990,3,
IP14P-256-STD,iPhone 14 Pro,256GB,Standard,34990,3,
IP14PM-128-STD,iPhone 14 Pro Max,128GB,Standard,36990,3,
IP14PM-256-STD,iPhone 14 Pro Max,256GB,Standard,38990,3,
IP15-128-STD,iPhone 15,128GB,Standard,29990,3,
IP15-256-STD,iPhone 15,256GB,Standard,33990,3,
IP15-128-NEW,iPhone 15,128GB,Brand new,38990,3,
IP15PL-128-STD,iPhone 15 Plus,128GB,Standard,33990,3,
IP15PL-256-STD,iPhone 15 Plus,256GB,Standard,36990,3,
IP15P-128-STD,iPhone 15 Pro,128GB,Standard,40990,3,
IP15P-256-STD,iPhone 15 Pro,256GB,Standard,42990,3,
IP15PM-256-STD,iPhone 15 Pro Max,256GB,Standard,45990,3,
IP15PM-512-STD,iPhone 15 Pro Max,512GB,Standard,48990,3,
IP16-128-STD,iPhone 16,128GB,Standard,36990,3,
IP16-256-STD,iPhone 16,256GB,Standard,38990,3,
IP16-128-NEW,iPhone 16,128GB,Brand new,48990,3,
IP16PL-128-STD,iPhone 16 Plus,128GB,Standard,43990,3,
IP16PL-256-STD,iPhone 16 Plus,256GB,Standard,45990,3,
IP16PL-128-NEW,iPhone 16 Plus,128GB,Brand new,56990,3,
IP16P-128-STD,iPhone 16 Pro,128GB,Standard,45990,3,
IP16P-256-STD,iPhone 16 Pro,256GB,Standard,51990,3,
IP16PM-256-STD,iPhone 16 Pro Max,256GB,Standard,54990,3,
IP16PM-512-STD,iPhone 16 Pro Max,512GB,Standard,58990,3,
IP17-256-STD,iPhone 17,256GB,Standard,49990,3,
IP17-256-NEW,iPhone 17,256GB,Brand new,56990,3,
IP17AIR-256-STD,iPhone 17 Air,256GB,Standard,46990,3,
IP17PM-256-NEW,iPhone 17 Pro Max,256GB,Brand new,86990,3,
IPAD11-128-NEW,iPad (11th gen),128GB,Brand new,29990,3,
IPADM6-64-NEW,iPad mini (6th gen),64GB Wi-Fi + Cellular,Brand new,24990,3,
